,ID,Age,Marital_Status,Has_Child,Education,Income,Spending,Accepted_Cmp,Response,KMeans,Predicted_Response,Rounded_Prediction,Prediction_Error,Monetary_Rank,Frequency_Rank,Recency_Rank
40,8601,42,Together,1,1,80011.0,1395,0,0,1,0.06346306180862715,0,0,86.67722234788509,77.0135746606335,96.38225255972696
41,503,37,Together,1,3,20559.0,53,0,0,3,0.08334820256575295,0,0,18.706175073512778,19.366515837104075,11.080773606370876
42,8430,65,Together,1,1,21994.0,22,0,0,3,-0.007265761090735068,0,0,4.908391766568649,3.4389140271493215,95.17633674630261
44,2139,47,Together,1,3,7500.0,31,0,0,3,0.0936134831119751,0,0,8.617959737615925,19.366515837104075,80.70534698521047
45,1371,46,Single,0,1,79941.0,984,0,0,1,0.17476811018645402,0,0,72.6080072381814,60.18099547511312,27.349260523321956
46,9909,26,Together,0,2,7500.0,122,0,1,3,0.16495703370531692,0,1,34.22302646460077,34.7737556561086,75.83617747440273
47,7286,54,Together,1,1,41728.0,55,0,0,0,-0.028196356629537345,0,0,19.814521601447634,10.79185520361991,7.394766780432309
49,6566,68,Together,1,4,72550.0,1319,0,0,2,0.10687005442802708,0,0,84.41529065822212,77.0135746606335,60.27303754266211
50,8614,65,Single,1,1,65486.0,507,0,0,2,0.0671896843469641,0,0,55.89233205157205,64.27601809954751,70.21615472127417
51,4114,58,Together,0,3,79143.0,1693,0,0,1,0.18278218210020672,0,0,93.73444921963356,99.25339366515837,97.63367463026165
52,1331,45,Single,1,1,35790.0,72,0,0,0,0.10297038911000353,0,0,26.23840760009048,19.366515837104075,45.34698521046644
53,2225,45,Single,0,1,82582.0,1617,1,1,1,0.5129563501488288,1,0,91.94752318479982,80.85972850678733,45.34698521046644
54,9381,44,Together,1,1,66373.0,606,0,0,2,-0.0015009470261923008,0,0,59.08165573399683,64.27601809954751,41.50170648464164
55,6260,67,Together,0,3,82384.0,1957,1,1,1,0.4648803652485945,0,1,97.4892558244741,97.48868778280543,44.16382252559727
56,10383,56,Single,0,1,70287.0,1093,0,1,2,0.19312473160000584,0,1,76.72472291336801,80.85972850678733,68.82821387940842
57,7437,34,Single,1,1,27938.0,29,0,0,3,0.12807645305988918,0,0,7.713187061750736,19.366515837104075,67.6905574516496
59,8375,54,Together,1,4,55954.0,518,0,0,2,0.06738422127056018,0,0,56.073286586745084,64.27601809954751,36.35949943117179
60,6853,40,Single,0,3,75777.0,1438,1,1,1,0.560268714458988,1,0,87.42365980547387,80.85972850678733,87.30375426621161
61,3076,47,Together,1,1,66653.0,612,0,0,2,-0.0053094132607784394,0,0,59.48880343813617,72.78280542986425,81.68373151308305
62,1012,70,Single,1,1,61823.0,884,0,0,2,0.11058640238387402,0,0,68.31033702782176,80.85972850678733,73.62912400455063
63,6518,71,Single,1,4,67680.0,606,0,0,2,0.1375131046429825,0,0,59.08165573399683,72.78280542986425,91.8316268486917
64,4137,74,Together,0,1,70666.0,1076,0,0,2,0.06116952924344968,0,0,76.04614340646913,60.18099547511312,70.21615472127417
65,8082,51,Together,1,1,25721.0,34,0,1,3,0.005066236170249483,0,1,9.77154489934404,10.79185520361991,24.27758816837315
66,1386,55,Together,1,1,32474.0,11,0,0,3,-0.016159766096306927,0,0,0.7690567744854105,3.4389140271493215,100.0
67,9369,43,Single,1,2,88194.0,1274,1,1,1,0.4321121009478583,0,1,83.19384754580412,99.8868778280543,80.70534698521047
68,4477,64,Together,1,1,69096.0,653,0,0,2,-0.027794223304634658,0,0,60.46143406469125,68.4841628959276,95.17633674630261
69,1357,52,Together,1,1,74854.0,1562,0,0,1,0.07948045321100958,0,0,90.38679031893237,49.20814479638009,9.351535836177474
70,1402,68,Together,0,3,66991.0,1253,0,0,2,0.14391103168837346,0,0,82.80931915856141,72.78280542986425,98.81683731513084
72,6312,63,Together,1,1,65031.0,863,0,0,2,0.005352221919032396,0,0,67.58651888712961,97.48868778280543,70.21615472127417
73,8132,47,Together,1,4,60631.0,661,1,0,2,0.35391211106705234,0,0,60.91382040262384,77.0135746606335,11.080773606370876
74,1050,70,Together,0,1,28332.0,65,0,0,3,0.03577266819988148,0,0,23.63718615697806,34.7737556561086,40.659840728100114
75,5846,45,Single,1,1,40246.0,13,0,0,0,0.08746176185348492,0,0,1.1083465279348563,3.4389140271493215,31.35381114903299
76,1859,50,Together,0,3,75251.0,1890,0,1,1,0.22329145425635372,0,1,96.40352861343587,72.78280542986425,65.02844141069397
77,7503,46,Single,0,1,75825.0,2209,1,1,1,0.5920757127981717,1,0,99.25356254241122,88.28054298642533,59.29465301478953
78,10401,46,Together,0,2,26326.0,18,0,0,3,0.08966481489499836,0,0,3.1214657317349017,3.4389140271493215,87.30375426621161
79,1618,57,Together,0,1,56046.0,692,1,1,2,0.33934876645945333,0,1,61.95430897986881,77.0135746606335,90.71672354948805
80,3332,37,Single,1,1,29760.0,165,0,0,3,0.13593640940748675,0,0,37.88735580185478,38.755656108597286,12.013651877133105
81,2261,53,Together,1,1,26304.0,16,0,0,3,-0.0007493887315446202,0,0,2.0809771544899345,3.4389140271493215,94.2434584755404
82,5346,49,Together,1,2,23559.0,79,0,0,3,0.040842150420736384,0,0,27.980095001130966,27.669683257918553,12.013651877133105
83,4119,59,Together,0,3,38620.0,318,0,0,0,0.10601828826308315,0,0,47.11603709567971,43.09954751131222,42.86689419795222
84,535,35,Single,0,1,81361.0,778,0,0,1,0.16304742208434164,0,0,64.66862700746438,97.48868778280543,81.68373151308305
85,5268,62,Together,1,1,29440.0,56,0,0,3,-0.014231264781677022,0,0,20.2442886224836,19.366515837104075,4.163822525597269
86,273,52,Together,1,3,36138.0,151,1,0,0,0.31433987948998615,0,0,36.824247907713186,38.755656108597286,52.104664391353815
87,4452,65,Single,1,1,50388.0,372,1,1,0,0.35222683619218575,0,1,49.174394933273014,52.307692307692314,96.38225255972696
88,8504,49,Together,0,1,79593.0,1366,1,0,1,0.37952705684262406,0,0,85.56887581995024,72.78280542986425,29.692832764505116
89,771,55,Together,1,1,54178.0,194,0,0,2,-0.03842694895471188,0,0,39.99095227324135,40.88235294117647,20.341296928327644
93,11178,50,Single,1,3,42394.0,32,0,0,0,0.12635248477677002,0,0,9.092965392445148,10.79185520361991,30.44368600682594
94,2230,52,Together,1,4,23626.0,43,0,0,3,0.08024834452382376,0,0,13.775163990047501,34.7737556561086,15.108077360637088
95,7516,39,Together,1,1,30096.0,45,0,0,3,0.013379155534672282,0,0,15.041845736258766,19.366515837104075,68.82821387940842
96,7247,62,Single,1,1,47916.0,606,1,0,0,0.38755808214546494,0,0,59.08165573399683,68.4841628959276,27.349260523321956
97,11100,50,Single,1,1,51813.0,63,0,0,0,0.0636562796225239,0,0,22.86812938249265,19.366515837104075,62.36632536973834
98,4646,71,Together,0,2,78497.0,978,1,0,1,0.33268602658010404,0,0,72.31395611852523,94.00452488687783,55.972696245733786
99,3037,39,Together,0,4,50150.0,410,0,0,0,0.14359528784448047,0,0,51.00655960190002,56.15384615384615,66.80318543799773
100,1473,62,Single,1,2,47823.0,72,0,0,0,0.08062047665579364,0,0,26.23840760009048,19.366515837104075,100.0
101,1016,63,Single,1,4,34554.0,55,0,0,0,0.15121740589930063,0,0,19.814521601447634,19.366515837104075,56.678043230944255
102,4518,43,Together,1,1,85693.0,1169,0,0,1,0.02530152280901571,0,0,79.73309206061977,96.0633484162896,40.02275312855518
103,9370,77,Together,0,4,65846.0,1120,0,0,2,0.1430910986304052,0,0,77.74259217371635,60.18099547511312,31.35381114903299
104,8908,63,Together,0,1,87195.0,1097,0,1,1,0.04522854016541519,0,1,76.88305813164442,77.0135746606335,64.11831626848692
105,8373,43,Together,1,0,24594.0,29,0,0,3,-0.0065533682579619335,0,0,7.713187061750736,10.79185520361991,5.164960182025029
106,7533,58,Together,1,1,49096.0,187,0,0,0,-0.03308635533645099,0,0,39.583804569102014,40.88235294117647,84.30034129692832
107,2683,53,Together,1,1,52413.0,910,0,0,0,0.048780709463612126,0,0,69.62225740782628,88.28054298642533,42.86689419795222
108,3629,44,Single,1,1,38557.0,145,0,0,0,0.10706795155214216,0,0,36.46233883736711,34.7737556561086,82.54835039817975
109,10991,62,Together,0,3,89058.0,850,0,0,1,0.06242517352010768,0,0,67.17937118299028,52.307692307692314,81.68373151308305
110,5077,43,Together,1,1,77298.0,969,0,0,1,0.01928018991657826,0,0,71.72585387921285,91.4027149321267,54.28896473265073
111,7431,31,Single,0,4,68126.0,1820,1,1,2,0.6542616465012816,1,0,95.67971047274372,64.27601809954751,59.29465301478953
112,3267,59,Together,1,3,57288.0,608,1,0,2,0.31502363415628704,0,0,59.26261026916987,68.4841628959276,72.53697383390217
113,999,31,Single,0,1,86037.0,730,1,1,1,0.4240126060956648,0,1,62.99479755711378,94.00452488687783,4.163822525597269
114,9215,42,Together,1,4,43974.0,551,0,0,0,0.11058560938359713,0,0,57.18163311467994,64.27601809954751,80.70534698521047
115,2286,60,Single,1,1,50785.0,114,0,0,0,0.05835735716892612,0,0,33.31825378873558,27.669683257918553,72.53697383390217
116,1592,52,Together,0,1,90765.0,1724,1,0,1,0.3940081966926079,0,0,94.20945487446279,60.18099547511312,74.65301478953356
117,367,44,Together,1,2,36550.0,577,0,0,0,0.07806446702779507,0,0,58.19950237502828,60.18099547511312,25.233219567690558
118,5234,55,Together,1,2,30753.0,81,0,0,3,0.018951687979639587,0,0,28.52295860665008,19.366515837104075,14.175199089874857
119,9862,53,Together,1,1,21918.0,33,0,0,3,0.009863948529909516,0,0,9.432255145894594,19.366515837104075,62.36632536973834
120,9805,69,Together,1,3,56129.0,660,0,0,2,0.03967810157517229,0,0,60.80072381814069,72.78280542986425,34.106939704209324
121,6205,55,Single,1,3,32557.0,80,0,1,3,0.14471873913873612,0,1,28.228907486993894,27.669683257918553,86.1433447098976
122,8442,37,Together,1,3,19510.0,30,0,0,3,0.08282129932708215,0,0,8.1429540827867,10.79185520361991,36.35949943117179
123,7386,46,Single,1,1,30992.0,43,0,0,3,0.10787908156104284,0,0,13.775163990047501,10.79185520361991,16.109215017064844
124,7215,39,Single,0,1,101970.0,1135,1,1,1,0.4278302106659946,0,1,78.2402171454422,98.52941176470588,30.44368600682594
125,1491,57,Together,0,2,71488.0,559,0,0,2,0.047053054188061605,0,0,57.317349016059715,56.15384615384615,12.013651877133105
126,11071,38,Single,0,1,79607.0,1923,0,1,1,0.2922632944717253,0,1,97.05948880343813,60.18099547511312,62.36632536973834
127,3381,69,Together,1,3,54348.0,90,0,0,2,-0.021348259070423814,0,0,29.92535625424112,27.669683257918553,48.532423208191126
129,11051,66,Together,1,4,77376.0,661,0,0,1,0.025412135444053963,0,0,60.91382040262384,77.0135746606335,27.349260523321956
130,8026,70,Together,1,1,62998.0,463,0,0,2,-0.045099741810281535,0,0,53.94707079846188,56.15384615384615,89.57906712172924
131,433,64,Single,1,3,61331.0,632,0,0,2,0.1384372614459058,0,0,59.805473874688985,72.78280542986425,57.588168373151305
132,9597,53,Together,0,1,73448.0,725,0,0,1,0.043440366562575605,0,0,62.632888486767705,72.78280542986425,89.57906712172924
134,5290,58,Together,1,4,41551.0,279,0,0,0,0.06360254055039546,0,0,45.08029857498303,46.06334841628959,48.532423208191126
135,1685,55,Together,0,4,62981.0,1482,1,0,2,0.48902775856875935,0,0,88.64510291789188,88.28054298642533,78.72582480091013
136,5342,46,Single,1,0,9548.0,29,0,0,3,0.12499633119636105,0,0,7.713187061750736,10.79185520361991,67.6905574516496
137,9579,63,Together,1,4,33762.0,106,0,0,0,0.052883067306203124,0,0,32.798009500113096,27.669683257918553,38.225255972696246
138,7660,49,Single,1,4,35860.0,49,1,1,0,0.4367258552664438,0,1,17.416874010404886,10.79185520361991,62.36632536973834
139,1461,57,Single,1,4,36921.0,38,0,0,0,0.15247010724005416,0,0,11.558470934177787,19.366515837104075,25.233219567690558
140,821,30,Single,0,3,92859.0,2077,0,0,1,0.34149225549581597,0,0,98.43926713413255,84.68325791855203,54.28896473265073
141,11084,46,Together,1,3,65104.0,1053,0,1,2,0.09656403162125354,0,1,75.29970594888034,60.18099547511312,95.17633674630261
142,8690,60,Together,0,1,86111.0,1385,0,0,1,0.08392602516357733,0,0,86.49626781271206,88.28054298642533,26.27986348122867
143,2937,48,Single,1,4,68352.0,871,0,0,2,0.19634968602091463,0,0,67.8127120560959,88.28054298642533,53.15130830489192
144,9701,34,Together,1,1,41883.0,312,0,0,0,0.02682495742435531,0,0,46.59579280705723,40.88235294117647,86.1433447098976
145,9949,46,Together,1,1,59809.0,877,0,0,2,0.03957075124416842,0,0,68.01628590816557,49.20814479638009,63.321956769055745
146,10837,47,Together,1,1,23957.0,68,0,1,3,0.017655531694836968,0,1,24.768152001809547,19.366515837104075,53.15130830489192
147,3120,41,Together,1,1,38547.0,22,0,0,0,-0.008588110213804179,0,0,4.908391766568649,3.4389140271493215,50.83048919226394
148,5885,49,Together,1,2,35688.0,211,0,0,0,0.031765756248579996,0,0,40.873105632209906,40.88235294117647,5.164960182025029
149,4050,56,Together,0,3,49605.0,127,0,0,0,0.06656058821511085,0,0,34.652793485636735,34.7737556561086,34.106939704209324
150,3830,69,Together,1,3,59354.0,459,0,0,2,0.010525968343075676,0,0,53.653019678805705,60.18099547511312,40.02275312855518
151,7987,53,Together,1,1,65747.0,460,1,0,2,0.2418234366984945,0,0,53.72087762949559,60.18099547511312,3.23094425483504
152,7798,50,Together,1,2,46344.0,429,0,0,0,0.034035814327185304,0,0,52.16014476362814,52.307692307692314,71.39931740614335
153,92,34,Single,1,1,34176.0,89,0,0,0,0.1225150588683041,0,0,29.744401719068087,34.7737556561086,87.30375426621161
154,7055,70,Together,1,4,61010.0,1021,0,0,2,0.09335748021346454,0,0,73.98778556887582,94.00452488687783,41.50170648464164
155,10240,73,Together,0,1,69372.0,1381,1,1,2,0.37000542194311287,0,1,86.27007464374576,80.85972850678733,89.57906712172924
156,3025,64,Single,1,1,49967.0,306,0,0,0,0.07647783186327009,0,0,46.120787152228004,49.20814479638009,95.17633674630261
157,9283,44,Single,1,1,60199.0,18,0,0,2,0.04981512171391103,0,0,3.1214657317349017,3.4389140271493215,50.83048919226394
158,9970,45,Together,1,1,55375.0,162,0,0,2,-0.03131098233065921,0,0,37.661162632888484,38.755656108597286,96.38225255972696
159,2730,67,Single,0,1,80317.0,1231,0,0,1,0.17446340739443136,0,0,82.10812033476589,68.4841628959276,35.31285551763367
160,2795,64,Single,1,3,30523.0,13,0,0,3,0.12935980746747894,0,0,1.1083465279348563,3.4389140271493215,100.0
161,9260,77,Together,0,4,70356.0,1706,0,0,2,0.20052375268044714,0,0,93.9154037548066,96.0633484162896,79.68145620022753
162,8182,38,Together,1,1,23228.0,121,0,0,3,0.0369020252610785,0,0,34.019452612531104,34.7737556561086,8.486916951080774
163,10095,47,Single,0,4,74165.0,1293,0,0,1,0.29121767872672427,0,0,83.73671115132323,77.0135746606335,90.71672354948805
164,8475,49,Together,1,4,157243.0,1608,0,0,1,-0.003253255787718512,0,0,91.69871069893689,88.28054298642533,1.2969283276450512
165,4370,56,Together,1,1,43482.0,88,0,0,0,-0.03055565601553817,0,0,29.563447183895047,27.669683257918553,16.109215017064844
166,10573,69,Single,0,1,62551.0,421,1,0,2,0.3857174126437063,0,0,51.752997059488806,68.4841628959276,72.53697383390217
167,3712,63,Single,0,1,52332.0,259,1,0,0,0.3954794691088189,0,0,43.29337254014929,46.06334841628959,36.35949943117179
168,6637,34,Single,0,1,66951.0,1117,0,0,2,0.23129547259996147,0,0,77.65211490612984,56.15384615384615,54.28896473265073
169,3152,65,Together,1,1,26091.0,89,0,0,3,-0.00779337081135778,0,0,29.744401719068087,27.669683257918553,15.108077360637088
170,5610,57,Together,1,1,33456.0,36,0,0,0,-0.017895869391183428,0,0,10.472743723139562,10.79185520361991,40.659840728100114
171,6460,40,Together,1,1,28718.0,57,0,0,3,0.016156697286833083,0,0,20.696674960416196,19.366515837104075,21.319681456200225
172,1349,52,Together,1,1,50447.0,148,0,0,0,-0.032312672386902386,0,0,36.68853200633341,34.7737556561086,95.17633674630261
173,1880,63,Together,1,4,53537.0,93,0,0,2,0.012239348756298646,0,0,30.649174394933272,27.669683257918553,82.54835039817975
174,641,55,Single,1,1,52074.0,119,1,0,0,0.3333452297842093,0,0,33.657543542185024,27.669683257918553,22.48009101251422
175,8717,47,Together,1,4,80427.0,1835,0,0,1,0.177238865253934,0,0,95.99638090929655,98.52941176470588,42.86689419795222
176,10314,74,Together,0,4,83837.0,1318,1,1,1,0.4042303312113329,0,1,84.3248133906356,94.00452488687783,20.341296928327644
177,10854,52,Together,1,4,38853.0,45,0,0,0,0.05031235572076004,0,0,15.041845736258766,19.366515837104075,9.351535836177474
178,10492,63,Together,1,1,38285.0,10,0,0,0,-0.03827269400050454,0,0,0.5428636055191134,3.4389140271493215,3.23094425483504
179,6935,71,Together,0,2,78497.0,978,1,0,1,0.33268602658010404,0,0,72.31395611852523,94.00452488687783,55.972696245733786
180,7698,46,Together,1,4,51650.0,191,0,0,0,0.04936498331524572,0,0,39.83261705496494,40.88235294117647,18.11149032992036
181,3559,34,Together,1,2,16248.0,57,0,0,3,0.07249934645116765,0,0,20.696674960416196,27.669683257918553,22.48009101251422
182,10562,76,Together,0,3,66835.0,1033,0,0,2,0.10881544357246131,0,0,74.44017190680842,91.4027149321267,78.72582480091013
183,10796,38,Together,1,3,30477.0,66,0,0,3,0.06386324753072997,0,0,23.999095227324137,19.366515837104075,83.4584755403868
184,2563,61,Together,0,0,28249.0,43,0,0,3,0.021470862453781964,0,0,13.775163990047501,19.366515837104075,19.340159271899886
185,3518,39,Together,1,1,25271.0,50,0,0,3,0.023503051436469774,0,0,17.824021714544223,10.79185520361991,55.358361774744026
186,5823,52,Single,1,4,32303.0,39,0,0,3,0.16828652875889347,0,0,12.033476589007012,19.366515837104075,36.35949943117179
187,3934,56,Together,1,1,61286.0,608,0,0,2,-0.006931206626232034,0,0,59.26261026916987,64.27601809954751,65.02844141069397
188,6982,46,Together,0,1,74068.0,1581,0,0,1,0.14833469209282077,0,0,91.11060845962452,91.4027149321267,85.0967007963595
189,6431,58,Together,1,4,45759.0,68,0,0,0,0.03137069485657629,0,0,24.768152001809547,19.366515837104075,86.1433447098976
190,9733,44,Together,1,0,24882.0,80,1,0,3,0.267760293470681,0,0,28.228907486993894,10.79185520361991,47.41751990898749
191,5602,33,Together,0,4,66973.0,1282,0,0,2,0.21689473738783216,0,0,83.39742139787379,98.52941176470588,1.2969283276450512
192,7829,122,Single,1,2,36640.0,65,0,0,0,0.023312715654333155,0,0,23.63718615697806,19.366515837104075,0.40955631399317405
193,1324,34,Together,1,1,38872.0,91,0,0,0,0.007760380549768686,0,0,30.12893010631079,27.669683257918553,6.234357224118316
194,326,49,Together,1,1,51148.0,315,0,0,0,-0.010854640160030848,0,0,46.776747342230266,49.20814479638009,61.2514220705347
195,7224,45,Together,1,1,31353.0,31,0,0,3,0.0014369858814368697,0,0,8.617959737615925,10.79185520361991,75.83617747440273
196,6999,42,Together,0,3,69661.0,834,0,0,2,0.12525808949806727,0,0,66.72698484505769,88.28054298642533,19.340159271899886
197,9938,68,Together,0,1,80067.0,1600,1,0,1,0.3801781699803001,0,0,91.58561411445373,64.27601809954751,17.042093287827075
198,6422,68,Together,0,1,86718.0,1270,0,0,1,0.059210619065131725,0,0,83.1033702782176,64.27601809954751,79.68145620022753
199,3182,49,Single,1,4,46854.0,263,1,1,0,0.4391844866552742,0,1,43.4517077584257,40.88235294117647,18.11149032992036
200,7300,70,Single,1,1,69142.0,535,1,0,2,0.32698254152131995,0,0,56.68400814295408,64.27601809954751,49.670079635949946
201,10424,54,Single,0,1,75922.0,1295,0,0,1,0.20746196345296058,0,0,83.7819497851165,68.4841628959276,39.203640500568824
202,8727,44,Single,1,1,63693.0,1150,0,0,2,0.17109651644055915,0,0,78.87355801854784,97.48868778280543,36.35949943117179
203,2798,45,Together,0,4,102160.0,1240,1,1,1,0.3971237005326689,0,1,82.33431350373219,97.48868778280543,45.34698521046644
204,1030,57,Single,1,4,40637.0,38,0,0,0,0.1451092461768953,0,0,11.558470934177787,10.79185520361991,27.349260523321956
205,624,38,Single,0,3,18890.0,35,1,1,3,0.5166818073510576,1,0,10.178692603483375,3.4389140271493215,94.2434584755404
206,5176,34,Together,1,1,29604.0,53,1,0,3,0.29223469205692226,0,0,18.706175073512778,10.79185520361991,11.080773606370876
207,5552,59,Single,1,3,48721.0,293,0,0,0,0.1315786315131273,0,0,45.55530422981226,46.06334841628959,49.670079635949946
208,868,56,Together,1,1,44794.0,65,0,0,0,-0.03575936037641514,0,0,23.63718615697806,19.366515837104075,0.40955631399317405
209,380,68,Single,1,1,64497.0,1804,1,1,2,0.482524027962752,0,1,95.4308979868808,94.00452488687783,82.54835039817975
210,2677,66,Together,1,1,46097.0,241,0,0,0,-0.03151902115207311,0,0,42.5469350825605,43.09954751131222,88.41865756541524
211,6521,68,Together,0,1,77972.0,1101,0,0,1,0.05739541264994505,0,0,77.04139334992082,77.0135746606335,81.68373151308305
212,6927,54,Together,1,4,44377.0,264,0,0,0,0.06155030507794035,0,0,43.610042976702104,46.06334841628959,29.692832764505116
213,2877,48,Together,1,3,46014.0,541,0,0,0,0.07377075779893727,0,0,56.729246776747345,64.27601809954751,78.72582480091013
214,0,37,Together,0,1,70951.0,1198,0,0,2,0.12293311962412098,0,0,81.20334765890071,64.27601809954751,33.06029579067122
215,1584,45,Together,1,1,41443.0,482,0,0,0,0.03252729511217045,0,0,54.603030988464155,56.15384615384615,20.341296928327644
216,7264,44,Single,1,2,52195.0,17,0,0,0,0.0893313244370128,0,0,2.6238407600090476,3.4389140271493215,97.63367463026165
217,6274,74,Together,0,3,83790.0,1615,1,0,1,0.4141849172037037,0,0,91.81180728342004,94.00452488687783,18.11149032992036
218,1377,68,Single,1,3,44551.0,285,0,0,0,0.12713274107402686,0,0,45.32911106084596,43.09954751131222,75.83617747440273
219,454,42,Together,1,1,69508.0,1135,0,0,2,0.05482218764199276,0,0,78.2402171454422,97.48868778280543,52.104664391353815
220,1755,34,Together,1,2,45204.0,114,0,0,0,0.02159710533879522,0,0,33.31825378873558,27.669683257918553,6.234357224118316
221,2075,53,Together,0,1,72460.0,1047,0,0,2,0.08186494955303902,0,0,75.00565482922416,60.18099547511312,42.86689419795222
222,4785,52,Together,1,4,77622.0,714,0,0,1,0.04928286957259145,0,0,62.42931463469803,80.85972850678733,96.38225255972696
223,9076,42,Together,1,4,30732.0,185,0,0,3,0.09536547164743325,0,0,39.40285003392898,40.88235294117647,55.972696245733786
224,7079,60,Single,1,1,63887.0,1245,0,0,2,0.1604934339184219,0,0,82.60574530649174,98.52941176470588,61.2514220705347
